REF #,Actual_Gender,Model_Predictions,Model_Probabilities
4784,FEMALE,FEMALE,0.27323917023296646
678,MALE,MALE,0.9925994280142086
8250,MALE,MALE,0.7599808945497244
8364,MALE,MALE,0.8046171497671716
7896,MALE,FEMALE,0.3851040201499724
7142,MALE,MALE,0.9277424293230695
8968,FEMALE,MALE,0.5308458849114275
3937,FEMALE,FEMALE,0.4723548061346826
3266,MALE,MALE,0.9713280734066229
5532,MALE,MALE,0.732973640394669
2979,MALE,MALE,0.8695514581216399
10262,MALE,FEMALE,0.4350657037620051
3404,MALE,MALE,0.904872203909951
5801,MALE,MALE,0.9259129694343935
4260,MALE,MALE,0.9419242484966169
10354,MALE,FEMALE,0.41249210694103056
6003,FEMALE,FEMALE,0.2962753105418782
7040,MALE,MALE,0.9241258033039084
11453,MALE,MALE,0.6779567504823713
7091,MALE,MALE,0.5017547230454287
11173,MALE,FEMALE,0.4638222205172829
4443,MALE,MALE,0.6346126852421643
3819,MALE,MALE,0.9877281524341802
9360,MALE,MALE,0.7838849863788911
4629,MALE,MALE,0.9721732835859762
6854,MALE,FEMALE,0.4465576362720112
5022,MALE,MALE,0.6783809522650439
4779,MALE,MALE,0.503339561388671
7726,FEMALE,FEMALE,0.22703810119067364
5875,MALE,MALE,0.6451775866746604
8027,FEMALE,FEMALE,0.1786279707467801
715,FEMALE,MALE,0.5831862301368154
11154,FEMALE,FEMALE,0.35683269872547363
8673,MALE,MALE,0.6798452227345742
5138,MALE,MALE,0.8741724593193968
10732,FEMALE,FEMALE,0.27174102483017515
9710,FEMALE,FEMALE,0.2384107200409402
4296,FEMALE,FEMALE,0.3505747594175795
2009,MALE,MALE,0.9803429776162257
4078,MALE,MALE,0.655797424788896
7059,MALE,MALE,0.8483089788064392
8242,MALE,FEMALE,0.47673561390025077
11119,MALE,MALE,0.7301702587844328
187,MALE,MALE,0.9864528356700771
5382,MALE,MALE,0.7259168866032553
9341,FEMALE,FEMALE,0.38353068186158085
11279,FEMALE,FEMALE,0.39716507471282325
4652,MALE,MALE,0.5995140754051511
6176,FEMALE,FEMALE,0.4559770435737645
1877,MALE,MALE,0.9913600952477389
9708,FEMALE,FEMALE,0.47384661453645416
3372,MALE,MALE,0.8914571176091605
3386,FEMALE,FEMALE,0.3605540668339174
3684,MALE,MALE,0.6505435355627439
10430,FEMALE,FEMALE,0.23785305854971633
9188,FEMALE,FEMALE,0.341557885759679
7452,MALE,FEMALE,0.3936197212954661
4771,FEMALE,FEMALE,0.2276285270228998
2346,MALE,MALE,0.9171934714743645
42,MALE,MALE,0.8607320472320472
7175,MALE,MALE,0.7765587259532158
4053,MALE,MALE,0.7249726629016329
456,MALE,MALE,0.9991912972085386
